

http://climatedataapi.worldbank.org/climateweb/rest/v1/country/mavg/pr/1980/1999/PRT.csv

http://climatedataapi.worldbank.org/climateweb/rest/v1/country/mavg/tas/1980/1999/PRT.csv


## 1st

GCM,var,from_year,to_year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,pr,1980,1999,112.6917662,81.75626223,81.91241482,72.70424148,49.27627618,26.25838481,21.43869623,22.57562029,37.73240709,77.97813525,118.5457341,140.9440131
cccma_cgcm3_1,pr,1980,1999,76.51576533,56.30476543,68.87459551,51.76390675,45.16309888,22.38918468,16.0544064,14.62526999,23.68787452,51.29850279,72.60071373,78.88548374
cnrm_cm3,pr,1980,1999,98.06215531,77.86074053,74.4521825,45.05115032,26.64941733,29.07067639,24.19161851,27.98751606,31.36886283,57.29968493,101.5323632,110.5282417
csiro_mk3_5,pr,1980,1999,90.84376226,75.82047244,81.61174583,54.46038049,29.37574002,18.79099529,14.59006027,18.06876223,33.30094276,50.74673625,82.0093362,93.14869445
gfdl_cm2_0,pr,1980,1999,101.18811907082144,82.32746614732856,92.00481305800716,88.12812696183572,59.1973429407357,33.82328421727786,17.248773268294283,21.569623572484286,28.616292033867857,63.53263609748573,101.89484187535001,128.18620382035712
gfdl_cm2_1,pr,1980,1999,103.79674775263572,73.55684062415,73.87854685107143,56.968575477557856,40.51054552623714,22.780294043665716,15.301540391785716,16.594260692593572,26.773281642364285,57.29515825,97.25808688572856,128.1050109864786
ingv_echam4,pr,1980,1999,60.42723355977857,36.16234316145,39.64231102807144,39.54910659789285,27.241546903335717,18.704101903104288,15.043101183012142,12.24427877153214,27.988189288549997,61.27520881379286,82.93276078365714,85.6600562504357
inmcm3_0,pr,1980,1999,74.24155998235001,63.66575063976429,65.80709702627856,51.791410718650006,43.908017839721424,30.22789764404286,27.559847559249285,29.928316933779993,38.413471221921434,50.27655846731428,65.82842676980714,78.17231655122858
ipsl_cm4,pr,1980,1999,45.31480073928357,57.211234024585714,44.667070797499996,39.38647147588572,34.484373705735706,26.684193747392857,32.40144743237857,28.424046209884285,23.314641101015003,43.74227333068571,76.89353329792144,73.47701031816429
miroc3_2_medres,pr,1980,1999,91.67241164612857,67.89421694619999,51.27227183751428,39.54327556065714,29.379399776464286,17.97827400479643,11.854649169102144,15.533495153708571,22.472118037102145,46.07441568375,81.7536315917857,105.99045658117859
miub_echo_g,pr,1980,1999,72.5609870638143,47.35696172716429,35.729728221885715,30.832152298521432,29.49485969545,25.231198787685713,16.480807917460716,16.798579658775,25.632772105092858,53.446413380783575,73.31147725245,96.63037191124285
mpi_echam5,pr,1980,1999,119.96204798556428,102.65392603188573,74.24914319169287,41.28186048779428,29.915931054520712,12.532785637031427,9.600283869677428,10.076282765190713,21.693121876037143,63.07785763058572,73.77530465810715,88.67176559993571
mri_cgcm2_3_2a,pr,1980,1999,102.14750576023572,105.24407986239285,96.44959000195716,54.16252667565713,28.287620544442856,21.69682523182143,13.604074784695,13.397010258269287,20.399047953738574,42.37470694950715,51.45802089144286,82.92604119435714
ukmo_hadcm3,pr,1980,1999,111.1154376438,68.72349166874287,82.02239104684284,56.57616989950929,37.87362868445643,24.603598339217854,15.153869288302143,15.963766370495714,28.29214872633929,50.79094444002143,100.80582809445,125.39810534886429
ukmo_hadgem1,pr,1980,1999,108.74462645399286,83.71333830698572,79.04149777547858,64.91645247594286,74.11877979554286,52.761774676150004,25.329319477075,22.068097216739282,51.20070491520715,102.43861552648572,101.92884390699287,102.18145411354999


## 2nd

GCM,var,from_year,to_year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,tas,1980,1999,12.27690996,11.84367807,12.47085789,13.3419887,15.03528922,18.17085266,20.01576233,20.51570129,19.5874721,17.5436445,15.54899379,13.61862837
cccma_cgcm3_1,tas,1980,1999,11.39000157,11.22993251,12.37634713,13.33341762,15.18888637,18.62626866,21.39470346,22.48904637,20.67789786,17.60206386,14.83814566,12.50434004
cnrm_cm3,tas,1980,1999,11.67987061,11.50823103,11.69434466,12.41571045,14.34194728,16.67442104,19.27445548,20.40066092,19.33838981,16.95929827,14.60261754,12.89665004
csiro_mk3_5,tas,1980,1999,15.09649004,14.89590018,15.58390808,16.12575422,18.23022461,21.40627616,24.2679487,25.00979396,23.72070966,20.48643058,17.65393284,15.8235866
gfdl_cm2_0,tas,1980,1999,10.385321480882142,10.50687081474143,11.084614345005715,11.712857927599286,13.496488298685714,16.371174403607142,19.225481305800002,19.26814923967857,18.065159388957145,15.174135480621429,13.04774257115214,11.450256347662856
gfdl_cm2_1,tas,1980,1999,11.416152954102143,10.785138811391429,11.781539916981428,12.808526175368572,14.707111903600003,18.354511805928574,21.52687944684286,22.03605869837857,20.436141967771427,17.13012695311428,14.181716918953569,12.450988769540714
ingv_echam4,tas,1980,1999,12.745459420330715,12.938820975177858,13.869042532779286,15.626076834532855,18.28823416573572,21.707244873042857,24.25459289550714,24.64818681989286,23.068010602685714,19.747863769535712,16.39309038434,13.975176130017857
inmcm3_0,tas,1980,1999,13.638508387977861,13.550857543944998,13.71969822475714,14.630615234364283,16.55819920130714,19.400793892999996,21.62608773367857,21.548385620121433,20.302553449357138,18.456261771064284,16.4856175014,14.823933192671428
